manor_id,geld,totalploughs
12984,12.0,13.0
13069,7.16,11.0
12995,9.5,7.0
13069,7.16,11.0
13073,0.66,1.0
13103,0.66,
13132,4.0,3.0
13158,2.0,6.0
13158,2.0,6.0
13192,1.33,2.0
13219,0.66,
13214,4.0,7.0
13215,1.0,0.0
13216,0.25,
12983,12.0,16.0
13175,2.0,5.0
13144,0.5,4.0
12960,1.16,0.0
13111,7.0,8.5
13070,5.0,7.0
13189,2.0,1.0
13174,8.75,15.0
13218,1.0,0.0
11561,8.0,13.0
13017,3.0,10.0
13018,1.0,1.0
13211,2.0,8.0
12991,4.25,4.0
13178,0.75,2.0
12989,2.0,4.5
13197,0.59,2.0
13142,2.0,4.0
13137,6.25,11.0
13200,0.31,1.0
12999,0.68,1.0
13136,0.5,0.0
13193,0.81,4.0
13002,1.0,1.0
13106,3.0,6.0
12944,6.12,4.0
13198,1.25,2.0
12944,6.12,4.0
13208,1.0,4.5
12944,6.12,4.0
13137,6.25,11.0
13209,0.75,1.5
13204,0.68,3.0
13194,0.25,0.0
13195,0.25,0.0
12949,1.0,2.0
13139,4.25,5.0
12944,6.12,4.0
13134,4.0,6.0
13140,1.0,4.5
13124,1.0,10.0
13108,0.5,4.0
13107,1.0,2.0
13168,0.66,1.0
12946,0.5,0.0
13205,0.87,4.5
13206,0.12,0.0
13002,1.0,1.0
13170,1.31,3.0
13123,1.0,3.0
13172,0.06,0.0
13201,0.93,1.0
13000,2.0,3.0
13140,1.0,4.5
13120,1.5,7.5
13135,2.0,5.0
13122,2.35,11.5
12944,6.12,4.0
13143,3.0,6.0
13122,2.35,11.5
12951,0.25,0.0
13196,1.62,1.0
13120,1.5,7.5
13147,0.25,0.0
13121,0.47,1.5
13170,1.31,3.0
13171,0.9,2.0
12951,0.25,0.0
13122,2.35,11.5
13202,0.25,0.0
12944,6.12,4.0
13122,2.35,11.5
12946,0.5,0.0
13138,6.25,6.0
12950,1.0,1.0
13198,1.25,2.0
13138,6.25,6.0
13110,2.5,2.0
13109,2.0,2.0
13118,2.0,4.0
13001,1.5,6.0
13169,4.0,7.0
13125,0.37,8.0
13140,1.0,4.5
13141,0.31,2.0
12998,4.0,2.0
12944,6.12,4.0
13207,0.15,1.0
12947,0.2,0.25
12952,0.9,5.0
12979,3.0,2.5
13203,0.5,0.0
13001,1.5,6.0
13138,6.25,6.0
13110,2.5,2.0
13148,0.5,0.0
12948,0.33,0.0
12952,0.9,5.0
12950,1.0,1.0
13121,0.47,1.5
13170,1.31,3.0
13171,0.9,2.0
12953,2.0,0.0
13120,1.5,7.5
13146,0.43,2.0
13137,6.25,11.0
13122,2.35,11.5
12945,2.0,4.0
11549,1.0,11.0
13056,4.0,6.0
12988,5.0,3.0
13021,4.0,7.0
12961,7.0,6.5
12992,2.0,2.0
13020,3.0,7.0
12990,2.0,3.0
13177,4.0,7.0
13180,2.0,2.0
13025,4.0,0.0
13026,2.0,0.0
13177,4.0,7.0
12969,0.37,1.0
13156,1.16,2.0
13181,0.37,0.5
13222,0.08,
13210,5.0,4.0
12962,13.81,6.0
12963,6.0,15.0
12961,7.0,6.5
12963,6.0,15.0
12959,6.0,14.0
13183,2.0,2.0
13024,0.5,1.0
13221,1.5,4.5
13019,1.0,2.0
13179,1.0,3.0
12965,2.33,1.0
12993,0.66,2.0
13182,1.0,2.0
12959,6.0,14.0
